"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"AUG","2022-08-10",-2.2,14.1,0,NA,NA,"N",22,"15:31",3.9,81,NA,"SSE","6",1030.8,13.2,42,NA,"NNE","13",1026.7
"AUG","2022-08-11",0.5,10.6,0,NA,NA,"NNW",43,"17:42",4.3,100,8,NA,"Calm",1024.8,8.8,86,8,"N","9",1020.2
"AUG","2022-08-12",4.3,15.2,5.4,NA,NA,"NNW",41,"01:26",10.4,91,6,"NNW","24",1018.1,12,72,8,"N","28",1015.6
"AUG","2022-08-13",4.5,14.2,10.8,NA,NA,"NNW",43,"15:54",7.3,99,8,"WNW","13",1014.3,13.5,53,2,"NW","30",1009.7
"AUG","2022-08-14",5.1,10.5,1.2,NA,NA,"NW",50,"10:37",8.1,73,1,"NW","28",1008.7,8,82,8,"NW","28",1006.9
"AUG","2022-08-15",6.6,12.7,0,NA,NA,"NW",54,"10:55",8.7,64,2,"NW","31",1008.7,11.2,46,8,"WNW","31",1006.8
"AUG","2022-08-16",2.9,14.8,0,NA,NA,"S",37,"16:11",8.9,75,5,"NNW","20",1011.2,12.9,56,1,"NNW","26",1011.1
"AUG","2022-08-17",1,13.7,2.8,NA,NA,"NW",31,"14:55",2.1,100,8,"SW","2",1022.8,12.4,63,2,"NNW","20",1019.6
"AUG","2022-08-18",2.1,15.9,0.2,NA,NA,"NNW",59,"14:22",9.7,88,8,"NNW","20",1017.3,13.8,57,NA,"NNW","44",1012.5
"AUG","2022-08-19",8.5,14.1,0.2,NA,NA,"S",50,"12:05",9.9,85,8,"NW","26",1012.5,11.6,69,8,"NNW","17",1014.3
"AUG","2022-08-20",4.4,13,1,NA,NA,"NW",52,"10:07",7.9,75,7,"NNW","20",1020.5,12,67,4,"NNW","28",1020
"AUG","2022-08-21",0.4,14.2,0,NA,NA,"NNW",39,"14:43",6.5,72,4,"WNW","6",1027.7,13.5,47,NA,"NW","31",1024.6
"AUG","2022-08-22",4.3,15.4,0,NA,NA,"NW",54,"10:58",9.3,67,7,"NNW","26",1020.2,13.5,56,6,"NW","31",1014.9
"AUG","2022-08-23",4.4,6.8,3.4,NA,NA,"NNW",57,"01:35",4.4,91,8,"SSW","30",1011.5,6.1,70,8,"SSE","24",1013.5
"AUG","2022-08-24",-6.3,13.4,2.2,NA,NA,"WNW",43,"16:05",2.4,86,NA,"NNW","4",1023.6,12.5,50,NA,"WNW","26",1019.6
"AUG","2022-08-25",2.3,15.4,0,NA,NA,"SSE",33,"17:46",9,76,NA,"N","17",1023.6,13.7,54,8,"N","15",1023.1
"AUG","2022-08-26",-1.3,16.9,0,NA,NA,"WNW",28,"11:34",8.4,74,NA,"SE","9",1029.8,15.3,46,8,"N","11",1027.5
"AUG","2022-08-27",-2.4,16.2,0.2,NA,NA,"ENE",31,"16:32",7,86,NA,"SE","4",1032.1,14.4,55,8,"NE","20",1027.9
"AUG","2022-08-28",6.6,18.7,0,NA,NA,"NNW",30,"14:39",11.5,74,3,"E","2",1030.5,17,47,7,"N","19",1026.8
"AUG","2022-08-29",1.6,NA,0,NA,NA,NA,NA,NA,7.7,100,8,"ESE","2",1026.4,11.9,92,8,"NNE","13",1022
